PseudoID;Grade;Language;PseudoGroup;groupid$pseudoTutorID;Tutorial_Language
1;8,0;ENG;6453;125;NL
2;9,0;ENG;3494;454;NL
3;8,5;NL;6486;113;NL
4;7,5;NL;8812;867;NL
5;7,5;ENG;2065;654;NL
6;6,5;NL;3240;764;NL
7;7,0;NL;4524;514;NL
8;5,0;NL;8502;701;NL
9;6,0;ENG;8812;867;NL
10;7,5;NL;8004;398;NL
11;6,5;NL;8004;398;NL
12;7,5;NL;6764;748;NL
13;8,0;ENG;1023;242;EN
14;5,0;ENG;9197;343;EN
15;9,5;ENG;1158;618;EN
16;8,5;ENG;1975;943;EN
17;7,0;ENG;3669;980;EN
18;7,5;ENG;6663;980;EN
19;7,5;NL;3494;454;NL
20;8,0;ENG;8812;867;NL
21;7,5;NL;8812;867;NL
22;6,0;ENG;5076;702;NL
23;7,0;NL;4524;514;NL
24;8,5;ENG;9313;625;EN
25;9,0;ENG;5692;328;EN
26;8,5;ENG;1158;618;EN
27;6,5;ENG;8979;278;EN
28;8,0;ENG;6992;294;EN
29;9,0;ENG;2346;939;EN
30;6,5;ENG;8979;278;EN
31;6,0;ENG;9197;343;EN
32;8,0;ENG;3669;980;EN
33;7,0;ENG;1975;943;EN
34;8,0;ENG;1800;190;EN
35;8,5;ENG;3669;980;EN
36;7,5;ENG;7393;473;EN
37;7,5;ENG;2291;472;EN
38;8,0;ENG;9313;625;EN
39;9,0;ENG;7393;473;EN
40;7,5;ENG;9197;343;EN
41;7,5;NL;3592;917;NL
42;8,0;NL;7223;398;NL
43;6,5;NL;7223;398;NL
44;7,5;ENG;8004;398;NL
45;6,0;NL;6453;125;NL
46;8,0;ENG;1278;562;NL
47;7,0;NL;1278;562;NL
48;8,0;ENG;9549;514;NL
49;7,0;ENG;3125;113;NL
50;7,0;ENG;6663;980;EN
51;6,0;ENG;6992;294;EN
52;7,5;ENG;9197;343;EN
53;7,5;ENG;1975;943;EN
54;6,5;ENG;6037;310;EN
56;6,0;NL;6764;748;NL
57;7,0;NL;3592;917;NL
58;6,5;NL;3494;454;NL
59;6,5;ENG;4861;447;EN
60;9,5;ENG;2291;472;EN
61;6,0;ENG;8437;689;EN
62;6,5;ENG;1975;943;EN
63;7,0;ENG;4549;692;EN
64;9,0;ENG;8502;701;NL
65;7,5;ENG;1278;562;NL
66;8,0;ENG;6486;113;NL
67;8,0;NL;7223;398;NL
68;7,5;ENG;1278;562;NL
69;8,5;ENG;7892;808;NL
70;6,0;NL;3494;454;NL
71;8,0;NL;6764;748;NL
72;7,0;ENG;6486;113;NL
73;7,0;NL;6453;125;NL
74;8,5;ENG;5076;702;NL
75;8,5;NL;3592;917;NL
76;5,0;ENG;6453;125;NL
77;7,0;NL;7223;398;NL
78;7,5;NL;6764;748;NL
79;5,0;NL;9549;514;NL
80;8,5;NL;3592;917;NL
81;7,5;NL;3592;917;NL
82;7,0;NL;3240;764;NL
83;5,0;ENG;1800;190;EN
84;9,5;ENG;1975;943;EN
85;6,5;ENG;1158;618;EN
86;5,0;ENG;1023;242;EN
87;8,0;ENG;9197;343;EN
88;7,0;ENG;1158;618;EN
89;7,5;ENG;1975;943;EN
90;9,0;ENG;1800;190;EN
91;7,0;ENG;9313;625;EN
92;8,5;ENG;1023;242;EN
93;7,5;ENG;3669;980;EN
94;7,5;ENG;9313;625;EN
95;8,5;ENG;2291;472;EN
96;6,5;ENG;1800;190;EN
97;6,5;ENG;7393;473;EN
98;8,0;ENG;8979;278;EN
99;7,0;NL;4524;514;NL
100;7,0;ENG;3592;917;NL
101;7,0;NL;7223;398;NL
102;5,0;ENG;4861;447;EN
103;6,0;ENG;1061;865;EN
104;8,5;ENG;6992;294;EN
105;6,5;ENG;6663;980;EN
106;7,5;ENG;7393;473;EN
107;7,0;ENG;6992;294;EN
108;7,5;ENG;3669;980;EN
109;9,0;ENG;6305;525;EN
110;6,0;ENG;4549;692;EN
111;6,5;ENG;1023;242;EN
112;6,5;ENG;1061;865;EN
113;6,0;ENG;4861;447;EN
114;8,5;ENG;1975;943;EN
115;7,0;ENG;6037;310;EN
116;7,5;ENG;5692;328;EN
117;8,0;ENG;9197;343;EN
118;7,5;ENG;8437;689;EN
119;7,5;ENG;7393;473;EN
120;7,5;ENG;4549;692;EN
121;8,0;ENG;1800;190;EN
122;6,5;ENG;1158;618;EN
123;6,5;NL;3761;217;NL
124;7,0;NL;8502;701;NL
125;7,5;ENG;1278;562;NL
126;6,5;ENG;3125;113;NL
127;7,0;NL;8502;701;NL
128;5,0;NL;8502;701;NL
129;7,5;NL;7223;398;NL
130;7,0;NL;7223;398;NL
131;7,5;NL;8502;701;NL
132;5,0;NL;3494;454;NL
133;8,0;NL;8502;701;NL
134;8,0;ENG;6453;125;NL
135;8,5;NL;8812;867;NL
136;6,0;NL;3125;113;NL
137;7,5;NL;6486;113;NL
138;8,0;ENG;8004;398;NL
139;6,5;ENG;8004;398;NL
140;6,0;ENG;6037;310;EN
141;7,0;ENG;4549;692;EN
142;7,0;ENG;4549;692;EN
143;8,0;ENG;1023;242;EN
144;9,0;ENG;6992;294;EN
145;8,5;ENG;7393;473;EN
146;8,5;ENG;1023;242;EN
147;7,0;ENG;1061;865;EN
148;8,0;NL;8812;867;NL
149;6,5;NL;9549;514;NL
150;7,5;NL;3761;217;NL
151;7,5;NL;3761;217;NL
152;7,5;NL;3761;217;NL
153;8,5;ENG;4549;692;EN
154;7,0;NL;3240;764;NL
155;7,5;NL;3240;764;NL
156;8,0;NL;3240;764;NL
157;8,0;ENG;6037;310;EN
158;6,5;NL;3240;764;NL
159;6,0;NL;3240;764;NL
160;8,5;NL;3240;764;NL
161;7,0;ENG;3761;217;NL
162;8,0;NL;3761;217;NL
163;5,0;ENG;3761;217;NL
164;8,0;NL;3761;217;NL
165;5,0;NL;3761;217;NL
166;7,0;ENG;1800;190;EN
167;7,5;ENG;1800;190;EN
168;8,5;NL;3761;217;NL
169;7,5;ENG;3761;217;NL
