row_index,student_id,pipeline_id,repetition,output_tokens_reported,approx_explanation_tokens,approx_non_explanation_tokens
0,1,original,run1,5654,1909,3745
1,1,original,run2,4248,1404,2844
2,1,original,run3,4929,1154,3775
3,1,improved,run1,13595,1009,12586
4,1,improved,run2,13944,1314,12630
5,1,improved,run3,13029,1171,11858
6,108,original,run1,4821,1467,3354
7,108,original,run2,5211,1468,3743
8,108,original,run3,4610,1663,2947
9,108,improved,run1,13520,1275,12245
10,108,improved,run2,12284,1127,11157
11,108,improved,run3,14377,1438,12939
12,114,original,run1,4832,1285,3547
13,114,original,run2,4648,1849,2799
14,114,original,run3,6225,1772,4453
15,114,improved,run1,13519,1310,12209
16,114,improved,run2,11694,908,10786
17,114,improved,run3,12875,1311,11564
18,115,original,run1,4944,1568,3376
19,115,original,run2,5485,1207,4278
20,115,original,run3,3218,1147,2071
21,115,improved,run1,12373,1458,10915
22,115,improved,run2,10896,1021,9875
23,115,improved,run3,10734,1139,9595
24,116,original,run1,5807,1615,4192
25,116,original,run2,4298,2198,2100
26,116,original,run3,4632,1597,3035
27,116,improved,run1,14581,1546,13035
28,116,improved,run2,10645,1122,9523
29,116,improved,run3,16496,1199,15297
30,118,original,run1,6411,1558,4853
31,118,original,run2,5228,1620,3608
32,118,original,run3,4209,1419,2790
33,118,improved,run1,16496,1631,14865
34,118,improved,run2,13900,1271,12629
35,118,improved,run3,12235,1046,11189
36,119,original,run1,3733,1286,2447
37,119,original,run2,4965,1453,3512
38,119,original,run3,4609,1589,3020
39,119,improved,run1,13342,1108,12234
40,119,improved,run2,10510,1272,9238
41,119,improved,run3,11625,1105,10520
42,126,original,run1,5529,1582,3947
43,126,original,run2,6518,2144,4374
44,126,original,run3,5736,1848,3888
45,126,improved,run1,12472,1385,11087
46,126,improved,run2,14634,830,13804
47,126,improved,run3,11287,1382,9905
48,127,original,run1,8031,3029,5002
49,127,original,run2,5093,1494,3599
50,127,original,run3,4542,1822,2720
51,127,improved,run1,12523,1259,11264
52,127,improved,run2,15277,1254,14023
53,127,improved,run3,11906,1283,10623
54,128,original,run1,5814,1709,4105
55,128,original,run2,4257,1470,2787
56,128,original,run3,3585,1579,2006
57,128,improved,run1,13474,1623,11851
58,128,improved,run2,12475,1791,10684
59,128,improved,run3,13999,1408,12591
60,129,original,run1,5926,1537,4389
61,129,original,run2,4267,1331,2936
62,129,original,run3,4974,1844,3130
63,129,improved,run1,11072,1121,9951
64,129,improved,run2,10694,1095,9599
65,129,improved,run3,9661,1177,8484
66,132,original,run1,6352,1548,4804
67,132,original,run2,4216,1459,2757
68,132,original,run3,5253,1874,3379
